address,type,date_notice,notice_number,district,neighborhood,pdf_path,text_path
3124 GREENMOUNT,Exterior,2025-04-02,2491624A,NORTHERN,ABELL,pdf\ABELL\2491624A.pdf,text\ABELL\2491624A.txt
3222 GREENMOUNT,Exterior,2025-04-02,2491645A,NORTHERN,ABELL,pdf\ABELL\2491645A.pdf,text\ABELL\2491645A.txt
303 E 33RD,Exterior,2025-05-22,2507561A,NORTHERN,ABELL,pdf\ABELL\2507561A.pdf,text\ABELL\2507561A.txt
403 E 31ST,Interior,2020-03-12,1888169A,,ABELL,pdf\ABELL\1888169A.pdf,text\ABELL\1888169A.txt
3033 BARCLAY,Exterior,2025-03-19,2484872A,NORTHERN,ABELL,pdf\ABELL\2484872A.pdf,text\ABELL\2484872A.txt
3033 BARCLAY,Interior,2025-06-09,2522615A,,ABELL,pdf\ABELL\2522615A.pdf,text\ABELL\2522615A.txt
3016 VINEYARD,Exterior,2021-10-01,2045055A,NORTHERN,ABELL,pdf\ABELL\2045055A.pdf,text\ABELL\2045055A.txt
3242 BARCLAY,Exterior,2025-02-20,2478978A,NORTHERN,ABELL,pdf\ABELL\2478978A.pdf,text\ABELL\2478978A.txt
2958 GREENMOUNT,Vacant,2023-08-16,2287444A,NORTHERN,ABELL,pdf\ABELL\2287444A.pdf,text\ABELL\2287444A.txt
3126 GREENMOUNT,Exterior,2021-11-04,2056787A,NORTHERN,ABELL,pdf\ABELL\2056787A.pdf,text\ABELL\2056787A.txt
3120 GREENMOUNT,Interior/Exterior,2024-12-17,2466421A,NORTHERN,ABELL,pdf\ABELL\2466421A.pdf,text\ABELL\2466421A.txt
3246 ABELL,Interior,2025-03-04,2483517A,,ABELL,pdf\ABELL\2483517A.pdf,text\ABELL\2483517A.txt
305 E 31ST,Exterior,2025-05-27,2513985A,NORTHERN,ABELL,pdf\ABELL\2513985A.pdf,text\ABELL\2513985A.txt
3145 ABELL,Interior/Exterior,2025-07-25,2542491A,NORTHERN,ABELL,pdf\ABELL\2542491A.pdf,text\ABELL\2542491A.txt
3119 BARCLAY,Vacant,2018-08-29,1714000A,NORTHERN,ABELL,,
431 MERRYMAN,Exterior,2024-10-09,2429861A,NORTHERN,ABELL,,
3121 BARCLAY,Vacant,2024-08-08,2415959A,NORTHERN,ABELL,,
3128 GREENMOUNT,Exterior,2022-02-16,2080262A,NORTHERN,ABELL,,
403 E 31ST,Exterior,2025-10-30,2581992A,NORTHERN,ABELL,pdf\ABELL\2581992A.pdf,text\ABELL\2581992A.txt
401 E 30TH,Exterior,2024-11-26,2460787A,NORTHERN,ABELL,,
3014 VINEYARD,Exterior,2021-08-11,2028574A,NORTHERN,ABELL,,
2934 GREENMOUNT,Vacant,2024-01-07,2336349A,NORTHERN,ABELL,,
3208 GREENMOUNT,Interior,2019-04-26,1783903A,CENTRAL,ABELL,,
3028 GREENMOUNT,Exterior,2025-04-23,2499133A,NORTHERN,ABELL,pdf\ABELL\2499133A.pdf,text\ABELL\2499133A.txt
3246 ABELL,Interior,2025-02-20,2480278A,,ABELL,pdf\ABELL\2480278A.pdf,text\ABELL\2480278A.txt
3113 BARCLAY,Vacant,2025-01-17,2472414A,NORTHERN,ABELL,pdf\ABELL\2472414A.pdf,text\ABELL\2472414A.txt
3122 GREENMOUNT,Exterior,2021-12-05,2064114A,NORTHERN,ABELL,,
2901 GUILFORD,Vacant,2022-12-30,2194700A,NORTHERN,ABELL,,
